id;name;study_year;bio;pfp
1;Optimization next-generation;2;Chief;Central embrace Garden
2;Avon;0;SMS;Implementation
3;Metal asymmetric;0;quantify Louisiana Reverse-engineered;Pants Computer mint
4;Outdoors Organized;4;blue;Rubber Manor
5;Oro;1;iterate Granite defect;product
6;AGP Loan Crescent;2;Forge Extension;Michigan Human Loan
7;PCI;2;Markets back-end;Car
8;Bacon;4;Steel Arkansas;partnerships
9;maximized navigating;3;e-tailers Dam visionary;Legacy France
10;intermediate;5;navigate;calculate Lead Movies
